,Species,State,Energy (Ha),Mass (AMU),Charge,Imaginary Frequencies,SP2,SP3,OH,NH2,S,,,,,SASA,,SASA
0,Na,gas,-534.8509063,158.2,0,n,0,1,0,0,0,,,1,gmx_Na,0.985,traj_Na,5.013
0,Na,octanol,-534.8666231,158.2,0,n,0,1,0,0,0,,,2,gmx_Nab,1.875,traj_Nab,6.936
0,Na,water,-534.868607,158.2,0,n,0,1,0,0,0,,,3,gmx_Nd,1.827,traj_Nd,6.944
0,Nab,gas,-652.726115,200.28,0,n,0,4,0,0,0,,,4,gmx_Ne,1.958,traj_Ne,7.212
0,Nab,octanol,-652.7399905,200.28,0,n,0,4,0,0,0,,,5,gmx_Nf,2.537,traj_Nf,8.39
0,Nab,water,-652.7417177,200.28,0,n,0,4,0,0,0,,,6,gmx_Nfe,2.808,traj_Nfe,9.165
0,Nd,gas,-722.8433055,201.2,-1,n,1,1,0,0,0,,,7,gmx_NfeB3,3.304,traj_NfeB3,10.251
0,Nd,octanol,-722.944919,201.2,-1,n,1,1,0,0,0,,,8,gmx_NfeC3,3.303,traj_NfeC3,10.147
0,Nd,water,-722.9562858,201.2,-1,n,1,1,0,0,0,,,9,gmx_Nfex,2.634,traj_Nfex,8.5
0,Ne,gas,-762.1340314,215.23,-1,n,1,2,0,0,0,,,10,gmx_Nfn,2.161,traj_Nfn,7.365
0,Ne,octanol,-762.2320086,215.23,-1,n,1,2,0,0,0,,,11,gmx_Nfnap,3.363,traj_Nfnap,9.831
0,Ne,water,-762.2428609,215.23,-1,n,1,2,0,0,0,,,12,gmx_Nfp,2.946,traj_Nfp,9.304
0,Nf,gas,-765.7782145,234.3,0,n,6,1,0,0,0,,,13,gmx_Ni,1.772,traj_Ni,6.773
0,Nf,octanol,-765.7941128,234.3,0,n,6,1,0,0,0,,,14,gmx_Nk,2.428,traj_Nk,8.354
0,Nf,water,-765.7960503,234.3,0,n,6,1,0,0,0,,,15,gmx_Nke,1.768,traj_Nke,6.78
0,Nfe,gas,-805.0734363,248.33,0,n,6,2,0,0,0,,,16,gmx_Nkeqm,2.19,traj_Nkeqm,7.887
0,Nfe,octanol,-805.0889267,248.33,0,n,6,2,0,0,0,,,17,gmx_Nl,1.821,traj_Nl,6.896
0,Nfe,water,-805.0908366,248.33,0,n,6,2,0,0,0,,,18,gmx_Nm,1.945,traj_Nm,7.192
0,NfeBr,gas,-3378.685448,327.22,0,n,6,2,0,0,0,,,19,gmx_NmO,1.87,traj_NmO,7.039
0,NfeBr,octanol,-3378.70332,327.22,0,n,6,2,0,0,0,,,20,gmx_Nn,1.746,traj_Nn,6.7
0,NfeBr,water,-3378.705607,327.22,0,n,6,2,0,0,0,,,21,gmx_Nq,1.921,traj_Nq,7.142
0,NfeCl,gas,-1264.607831,282.77,0,n,6,2,0,0,0,,,22,gmx_Nr,2.565,traj_Nr,8.717
0,NfeCl,octanol,-1264.623887,282.77,0,n,6,2,0,0,0,,,23,gmx_Ns,1.621,traj_Ns,6.366
0,NfeCl,water,-1264.625898,282.77,0,n,6,2,0,0,0,,,24,gmx_Nse,1.808,traj_Nse,6.859
0,Nfer,gas,-805.0674002,248.33,0,n,6,2,0,0,0,-805.0657,,25,gmx_Nt,1.758,traj_Nt,6.699
0,Nfer,octanol,-805.0832449,248.33,0,n,6,2,0,0,0,-805.0813,,26,gmx_Nv,1.717,traj_Nv,6.585
0,Nfer,water,-805.0851585,248.33,0,n,6,2,0,0,0,-805.0832,,27,gmx_Nw,3.026,traj_Nw,9.584
0,Nfes,gas,-805.0639985,248.33,0,n,6,2,0,0,0,,,28,gmx_Nwe,3.176,traj_Nwe,9.889
0,Nfes,octanol,-805.0794313,248.33,0,n,6,2,0,0,0,,,29,gmx_Ny,2.571,traj_Ny,8.439
0,Nfes,water,-805.0813397,248.33,0,n,6,2,0,0,0,,,,,,,
0,Nfn,gas,-726.4957723,220.27,0,n,6,0,0,0,0,,,,,,,
0,Nfn,octanol,-726.5105652,220.27,0,n,6,0,0,0,0,,,,,,,
0,Nfn,water,-726.5127729,220.27,0,n,6,0,0,0,0,,,,,,,
0,Nfnap,gas,-919.3444011,284.36,0,n,10,1,0,0,0,,,,,,,
0,Nfnap,octanol,-919.3613643,284.36,0,n,10,1,0,0,0,,,,,,,
0,Nfnap,water,-919.3634894,284.36,0,n,10,1,0,0,0,,,,,,,
0,Nfp,gas,-844.3606883,262.35,0,n,6,3,0,0,0,,,,,,,
0,Nfp,octanol,-844.3766035,262.35,0,n,6,3,0,0,0,,,,,,,
0,Nfp,water,-844.3785596,262.35,0,n,6,3,0,0,0,,,,,,,
0,Ni,gas,-652.7231986,200.28,0,n,0,4,0,0,0,,,,,,,
0,Ni,octanol,-652.7365864,200.28,0,n,0,4,0,0,0,,,,,,,
0,Ni,water,-652.73825,200.28,0,n,0,4,0,0,0,,,,,,,
0,Nk,gas,-708.464182,216.31,1,n,0,4,0,1,0,,,,,,,
0,Nk,octanol,-708.5483473,216.31,1,n,0,4,0,1,0,,,,,,,
0,Nk,water,-708.557671,216.31,1,n,0,4,0,1,0,,,,,,,
0,Nke,gas,-629.8838856,188.25,1,n,0,2,0,1,0,,,,,,,
0,Nke,octanol,-629.9759349,188.25,1,n,0,2,0,1,0,,,,,,,
0,Nke,water,-629.9865667,188.25,1,n,0,2,0,1,0,,,,,,,
0,Nkeqm,gas,-747.7285616,230.33,1,n,0,5,0,0,0,,,,,,,
0,Nkeqm,octanol,-747.8150312,230.33,1,n,0,5,0,0,0,,,,,,,
0,Nkeqm,water,-747.8253346,230.33,1,n,0,5,0,0,0,,,,,,,
0,Nl,gas,-652.7216059,200.28,0,n,0,4,0,0,0,,,,,,,
0,Nl,octanol,-652.737046,200.28,0,n,0,4,0,0,0,,,,,,,
0,Nl,water,-652.738989,200.28,0,n,0,4,0,0,0,,,,,,,
0,Nm,gas,-1011.564262,218.31,0,n,0,3,0,0,1,,,,,,,
0,Nm,octanol,-1011.580334,218.31,0,n,0,3,0,0,1,,,,,,,
0,Nm,water,-1011.582283,218.31,0,n,0,3,0,0,1,,,,,,,
0,NmO,gas,-688.6060243,202.25,0,n,0,3,0,0,0,,,,,,,
0,NmO,octanol,-688.6213883,202.25,0,n,0,3,0,0,0,,,,,,,
0,NmO,water,-688.6232541,202.25,0,n,0,3,0,0,0,,,,,,,
0,Nn,gas,-703.4762593,201.23,0,n,1,1,0,1,0,,,,,,,
0,Nn,octanol,-703.502486,201.23,0,n,1,1,0,1,0,,,,,,,
0,Nn,water,-703.5060028,201.23,0,n,1,1,0,1,0,,,,,,,
0,Nq,gas,-742.7700744,215.25,0,n,1,2,0,1,0,,,,,,,
0,Nq,octanol,-742.7930597,215.25,0,n,1,2,0,1,0,,,,,,,
0,Nq,water,-742.7959323,215.25,0,n,1,2,0,1,0,,,,,,,
0,Nr,gas,-817.9245076,244.32,1,n,1,2,0,2,0,,,,,,,
0,Nr,octanol,-818.0257629,244.32,1,n,1,2,0,2,0,,,,,,,
0,Nr,water,-818.0370208,244.32,1,n,1,2,0,2,0,,,,,,,
0,Ns,gas,-610.0401843,174.2,0,n,0,1,1,0,0,,,,,,,
0,Ns,octanol,-610.0575491,174.2,0,n,0,1,1,0,0,,,,,,,
0,Ns,water,-610.0596205,174.2,0,n,0,1,1,0,0,,,,,,,
0,Nse,gas,-649.326466,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nse,octanol,-649.3440501,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nse,water,-649.3461623,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nt,gas,-649.3269127,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nt,octanol,-649.3467045,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nt,water,-649.3492498,188.23,0,n,0,2,1,0,0,,,,,,,
0,Nv,gas,-613.4348179,186.26,0,n,0,3,0,0,0,,,,,,,
0,Nv,octanol,-613.4484238,186.26,0,n,0,3,0,0,0,,,,,,,
0,Nv,water,-613.450101,186.26,0,n,0,3,0,0,0,,,,,,,
0,Nw,gas,-897.2929916,273.34,0,n,8,1,0,0,0,,,,,,,
0,Nw,octanol,-897.3131394,273.34,0,n,8,1,0,0,0,,,,,,,
0,Nw,water,-897.315545,273.34,0,n,8,1,0,0,0,,,,,,,
0,Nwe,gas,-936.577376,287.36,0,n,8,2,0,0,0,,,,,,,
0,Nwe,octanol,-936.5977709,287.36,0,n,8,2,0,0,0,,,,,,,
0,Nwe,water,-936.6006943,287.36,0,n,8,2,0,0,0,,,,,,,
0,Ny,gas,-840.9695285,250.3,0,n,6,1,1,0,0,,,,,,,
0,Ny,octanol,-840.9897618,250.3,0,n,6,1,1,0,0,,,,,,,
0,Ny,water,-840.9921709,250.3,0,n,6,1,1,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,
